"condition_1","condition_2","condition_3"
0.0230098470567522,0.131381895755338,0.324218946125209
0.0204435752001804,0.0942427884364317,0.371536433460583
0.0175601433389178,0.106906485738575,0.246225750368844
0.017035609155144,0.0876392116433679,0.344537767502379
0.0238904922751966,0.0584297614487245,0.426254474171184
0.0245617742271894,0.0928615607773198,0.222992318959742
0.0207732357306616,0.0808082022786955,0.248806649061631
0.0174648264039786,0.109250440989824,0.33841924323147
0.0119756229276547,0.0732041800937664,0.412055822877468
0.0124932434891985,0.0611071112540739,0.367136127450628
0.00974037487953548,0.0578392280463792,0.25490535799797
0.0204445896489192,0.108621050812933,0.379934076037143
0.0222609495323881,0.0702789847293546,0.26762094794268
0.0195651080255611,0.0843936079967846,0.0497682487118366
0.0017285708872119,0.071875527362775,0.38826826464088
0.017359446244077,0.0465622715842465,0.363922678247505
0.0134503063236268,0.125000656516523,0.393871299432203
0.0203710717578406,0.0961283014141456,0.37624570739388
0.0100694637966432,0.0794393900716879,0.264347706558827
0.00804264335625166,0.104050092157674,0.431961910629198
0.0237998831698331,0.0794293598622506,0.258793181429439
0.0196785147591092,0.0781000831086471,0.473547796546571
0.0233134305000017,0.0576227964072721,0.337439818510546
0.0170350875168706,0.080856921833669,0.316648358915305
0.0200855019082096,0.0700597588319123,0.326627452922518
0.0103817374964439,0.0856056689312748,0.347932095417627
0.0175090014917735,0.0624566079565059,0.315536904090003
0.021523489423748,0.0620723666515739,0.369902108644067
0.00782138841091698,0.0730507978193152,0.298410900265669
0.0175528799711672,0.095910720637133,0.385595202278383
0.0109010317740775,0.0646263259845497,0.458711843045988
0.0164733251363593,0.0878038900644275,0.391582868327288
0.0155735955605365,0.0713559539608465,0.302028517946599
0.0241212451954383,0.0857713436663287,0.286714775575727
0.0156051055074773,0.120506948207921,0.320801006552285
0.0200479774085304,0.0672969741175954,0.332728035956128
0.0197866593743187,0.0597837854499935,0.317644464806249
0.0156536922497489,0.0960896339942833,0.272434933426376
0.0152461446965392,0.0918490234307568,0.331807727249255
0.0202418203208815,0.0787019093247841,0.232331080231538
0.0137376908139693,0.0965864979283194,0.345745876762859
0.0180765449332063,0.0588233853551294,0.43316894998188
0.0205768757449011,0.0682744869979782,0.460498500105008
0.0279640933968472,0.121610342647885,0.437418420694798
0.0121156893802368,0.103145077820751,0.232977664661815
0.0187521924055842,0.100355281618035,0.513166103356048
0.01974529820093,0.121438498878942,0.267531560541224
0.021440791508095,0.0879059208817458,0.349783454839763
0.0212949647868554,0.103313209556532,0.211804475274131
0.0278022564817429,0.107055223802645,0.339311730936348
0.0153273046763379,0.0611137864787867,0.496913769263462
0.014271444704816,0.0840832002297578,0.341239024114726
0.0148665281934481,0.135264133652238,0.426596319970137
0.0129623457312858,0.111133242733158,0.296228177391878
0.0146955096426959,0.0688885257947825,0.351206081585039
0.0109319466933831,0.0230181901676592,0.166585054664138
0.0225774675624755,0.0919140230851683,0.338791457451534
0.0169046936475761,0.0785790061769144,0.307889958878174
0.0231020190643546,0.0700367794604266,0.379240879240265
0.0179370501008193,0.0911372038362647,0.208912673876061
0.0260647353810619,0.121517783918145,0.300127274777837
0.0224009871613899,0.0849460000908377,0.289646333658733
0.0207918488378204,0.0849062493506227,0.376946477909249
0.0189762286890837,0.117801855903082,0.248382491673715
0.0263294907008726,0.0770093749468512,0.0699232420305678
0.0174555603007398,0.0717093985313028,0.384840833090624
0.00812248010147817,0.0878774018970035,0.278526191566259
0.0216731969470254,0.0487684257685504,0.39687662893097
0.0205584978147941,0.11068102197861,0.37798800148387
0.0075059370441157,0.131116840844121,0.416500774448675
0.0237565922738791,0.0772610102092771,0.413485050847857
0.0120589235989357,0.10444412441272,0.30603712251388
0.019579329592969,0.0747209666913213,0.189791444049292
0.0184763434503244,0.0893585994254308,0.242510750676203
0.01908080124154,0.0933606837637713,0.381154389908076
0.0165362055012932,0.109276787703135,0.327043834759172
0.0252064507340412,0.111084755022459,0.261965916879478
0.0215173527525011,0.0884841096334189,0.16517716157823
0.0129057185444431,0.100019571583647,0.23045607091692
0.0181784134470128,0.0770535092866756,0.312128823788997
0.0118839516082802,0.0996051226286423,0.390497927120934
0.0230592949079717,0.0903466751371084,0.347976882186332
0.0224198256979921,0.0990708673357713,0.4603805972912
0.0093248072562223,0.0710380472989965,0.346353674234591
0.0188440410925808,0.0771197497791379,0.38504051155819
0.0236503728017903,0.100797141515699,0.284819445461139
0.0171862354280834,0.105927658158817,0.246099920642052
0.0168240611599435,0.0774336229686961,0.33039380609435
0.0168453165648815,0.0709287398808279,0.43371534850129
0.0221831047963457,0.0950483479837044,0.577319326201348
0.0119629233126516,0.0726376946057059,0.255012785409198
0.0154938494389635,0.0630498092913916,0.404367885420634
0.0145764377571603,0.0966621693748508,0.489778773662102
0.0215371873509267,0.107375958772341,0.282295673461026
0.0208379644776759,0.112040640472702,0.357804727512916
0.00777073598220775,0.0972529771292707,0.394512678642239
0.012270906256327,0.111546757811084,0.45525182068978
0.0122037473634862,0.0952567173489072,0.201096040944579
0.0179512032005406,0.133227547793984,0.196580362320576
0.0238576089545433,0.046923675332959,0.337653214978991
